batch,clients,throughput,latency
1,1,9.2462,109.08
1,2,12.3918,162.17
1,3,12.6972,236.388
1,4,12.7196,314.793
2,2,11.2336,178.558
2,4,23.1152,172.921
2,6,23.1152,173.034
2,8,25.6101,312.981
4,4,9.2462,109.02
4,8,45.1464,177.62
4,12,47.5494,211.113
4,16,49.2082,285.313
